Car model;Link;Dollar Price;UAH Price;City;Type of Engine;Transmission;Drive Unit
Suzuki Jimny 2019;https://auto.ria.com/newauto/auto-suzuki-jimny-1845697.html;27 132 $;750 000 грн;Харьков;Бензин 1.5 л;Автомат;Полный привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1775545.html;20 635 $;570 400 грн;Харьков;Бензин 1.6 л;Автомат;Полный привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1843919.html;21 380 $;591 000 грн;Харьков;Бензин 1.6 л;Автомат;Передний привод
Suzuki Ignis 2020;https://auto.ria.com/newauto/auto-suzuki-ignis-1845227.html;19 173 $;530 000 грн;Ивано-Франковск;Бензин 1.2 л;Вариатор;Передний привод
Suzuki Vitara 2020;https://auto.ria.com/newauto/auto-suzuki-vitara-1844325.html;21 232 $;586 900 грн;Харьков;Бензин 1.4 л;Автомат;Передний привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1841567.html;20 635 $;570 400 грн;Ивано-Франковск;Бензин 1.6 л;Автомат;Полный привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1841566.html;19 267 $;532 600 грн;Ивано-Франковск;Бензин 1.6 л;Механическая;Полный привод
Suzuki Ignis 2020;https://auto.ria.com/newauto/auto-suzuki-ignis-1845407.html;19 173 $;530 000 грн;Харьков;Бензин 1.2 л;Вариатор;Передний привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1842840.html;19 267 $;532 600 грн;Харьков;Бензин 1.6 л;Механическая;Полный привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1843177.html;17 708 $;489 500 грн;Львов;Бензин 1.6 л;Механическая;Передний привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1838782.html;17 708 $;489 500 грн;Харьков;Бензин 1.6 л;Механическая;Передний привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1838783.html;20 635 $;570 400 грн;Харьков;Бензин 1.6 л;Автомат;Полный привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1845545.html;19 061 $;526 900 грн;Днепр (Днепропетровск);Бензин 1.6 л;Автомат;Передний привод
